drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Bortezomib,Proteasome inhibitor,"Inhibits the 26S proteasome, inducing proteotoxic stress and apoptosis",1.0,100.0,nM,Shows activity in some AML models; clinical combination studies exist,bortezomib,False,CHEMBL325041
Panobinostat,HDAC inhibitor,Histone deacetylase inhibition leading to altered chromatin and gene expression,1.0,100.0,nM,Potent pan-HDAC inhibitor with AML preclinical activity,panobinostat,False,CHEMBL483254
Trametinib,MEK1/2 inhibitor,"Allosteric inhibition of MEK1/2, blocking MAPK pathway signaling",1.0,100.0,nM,Effective where MAPK signaling drives proliferation or in combinations,trametinib,False,CHEMBL2103875
Dinaciclib,CDK inhibitor,"Inhibits CDK1/2/5/9, disrupting cell cycle and transcriptional CDK functions",1.0,50.0,nM,Potent CDK inhibitor that induces apoptosis in AML models,dinaciclib,False,CHEMBL2103840
Palbociclib,CDK4/6 inhibitor,"Selective CDK4/6 inhibition, causing G1 cell-cycle arrest",200.0,1000.0,nM,Activity in AML is cell-context dependent; many AML lines less dependent on CDK4/6,palbociclib,False,CHEMBL2364621
Dasatinib,Multi-kinase inhibitor (SRC/ABL),Inhibits SRC family kinases and ABL among others,1.0,1000.0,nM,Repurposed in subsets of AML and in combination studies; activity line-dependent,dasatinib,False,CHEMBL1421
Auranofin,Thioredoxin reductase inhibitor / repurposed anti-rheumatic,"Inhibits thioredoxin reductase, increasing oxidative stress",0.2,5.0,µM,Repurposing candidate with oxidative-stress–mediated cytotoxicity in AML,auranofin,False,CHEMBL1366
Niclosamide,Anthelmintic (repurposing candidate),"Multiple reported mechanisms (mitochondrial uncoupling, Wnt/STAT3 inhibition reported)",0.5,5.0,µM,Repurposing candidate shown to inhibit AML proliferation in vitro,niclosamide,False,CHEMBL1448
Ibrutinib,BTK inhibitor,"Covalent inhibition of BTK, affecting BCR and related signaling pathways",0.1,2.0,µM,Activity in AML is variable and often subset- or combination-dependent,ibrutinib,False,CHEMBL1873475
Omacetaxine mepesuccinate,Protein synthesis inhibitor,Inhibits protein synthesis (elongation) leading to decreased oncoprotein levels,1.0,1000.0,nM,Also known as homoharringtonine; approved for CML and shows AML activity,omacetaxine mepesuccinate,False,CHEMBL46286
BET inhibitors,BET bromodomain inhibitors (epigenetic),"Inhibit BET family bromodomains (e.g., BRD4), altering transcriptional programs",0.1,2.0,µM,Examples include birabresib (OTX015) and JQ1 (JQ1 often ~0.1–1 µM in AML),bet inhibitors,False,CHEMBL3785668
