drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ponatinib,Multi-kinase inhibitor (ABL/FLT3),Inhibits BCR-ABL and FLT3-ITD signaling,0.05,100.0,nM,Approved for CML/Ph+ ALL; potent in FLT3-ITD AML including MOLM13,ponatinib,False,CHEMBL2105708
Sunitinib,Multi-kinase inhibitor (includes FLT3),"Inhibits FLT3, KIT, PDGFR, VEGFR to suppress AML growth",1.0,300.0,nM,Approved for RCC/GIST; active in MOLM13/MV4-11,sunitinib,False,CHEMBL597365
Dasatinib,SRC/ABL family kinase inhibitor,Inhibits SRC-family and ABL kinases to reduce downstream survival signaling,1.0,3000.0,nM,Approved for CML/Ph+ ALL; preclinical AML activity including FLT3-ITD contexts,dasatinib,False,CHEMBL1421
Bortezomib,Proteasome inhibitor,Inhibits the 26S proteasome causing proteotoxic stress and apoptosis,0.5,200.0,nM,Approved for MM/MCL; synergizes with FLT3 blockade; activity in FLT3-ITD AML,bortezomib,False,CHEMBL325041
Carfilzomib,Proteasome inhibitor,Irreversible 20S proteasome inhibition leading to apoptosis,0.5,1000.0,nM,"Approved for MM; AML cytotoxicity reported, including in FLT3-ITD lines",carfilzomib,False,CHEMBL451887
Tigecycline,Antibiotic; mitochondrial translation inhibitor,Inhibits mitochondrial protein synthesis leading to energetic crisis,0.3,30.0,µM,Selective activity in AML cells and stem/progenitors; MOLM13 used in studies,tigecycline,False,CHEMBL376140
Niclosamide,Anthelmintic; Wnt/STAT3/OXPHOS modulator,"Disrupts Wnt/β-catenin, STAT3 signaling and mitochondrial respiration",0.05,10.0,µM,Reported AML activity including FLT3-ITD contexts,niclosamide,False,CHEMBL1448
Auranofin,Thioredoxin reductase inhibitor (anti-rheumatic),"Inhibits TrxR, increases ROS and disrupts redox homeostasis",0.05,10.0,µM,AML cytotoxicity including MOLM13,auranofin,False,CHEMBL1366
Thioridazine,Antipsychotic; dopamine receptor antagonist,Dopamine receptor blockade and associated pathways targeting leukemia stem/progenitors,0.3,30.0,µM,Reported activity against AML stem/progenitor cells in vitro/ex vivo,thioridazine,False,CHEMBL1200916
Pimozide,Antipsychotic; STAT5 pathway inhibitor,Inhibits STAT5 signaling downstream of FLT3-ITD,0.1,20.0,µM,Active in MOLM13/MV4-11,pimozide,False,CHEMBL1423
Panobinostat,HDAC inhibitor (pan-HDACi),Broad histone deacetylase inhibition leading to transcriptional reprogramming and apoptosis,0.001,1.0,µM,Approved for MM; active in AML including FLT3-ITD; often synergistic with kinase inhibitors,panobinostat,False,CHEMBL483254
Everolimus,mTORC1 inhibitor,Blocks mTORC1 signaling to reduce protein synthesis and cell growth,1.0,1000.0,nM,Approved for RCC/TSC; PI3K/mTOR pathway active in AML,everolimus,False,CHEMBL1908360
Fostamatinib,SYK inhibitor,Inhibits SYK-mediated survival signaling in AML cells,0.1,10.0,µM,Approved for ITP; SYK contributes to AML survival,fostamatinib,False,CHEMBL2103830
Ruxolitinib,JAK1/2 inhibitor,"Inhibits JAK/STAT signaling, blunting STAT5 output",0.01,10.0,µM,Approved for myelofibrosis/ET; activity and combination benefits reported in AML models,ruxolitinib,False,CHEMBL1287854
Trametinib,MEK1/2 inhibitor,Blocks MEK/ERK signaling in the MAPK pathway,0.01,10.0,µM,Approved for melanoma/NF1; activity in RAS/MAPK-driven AML and with FLT3 inhibitors,trametinib,False,CHEMBL2103875
Disulfiram,ALDH inhibitor (copper-dependent anticancer activity),"ALDH inhibition and, with copper, proteotoxic/ROS stress via NPL4/proteasome disruption",0.01,5.0,µM,Anticancer activity markedly enhanced by bioavailable copper in vitro,disulfiram,False,CHEMBL964
Simvastatin,HMG-CoA reductase inhibitor (statin),"Inhibits mevalonate pathway, reducing prenylation and inducing apoptosis",0.5,50.0,µM,Preclinical anti-AML activity; synergy with conventional agents reported,simvastatin,False,CHEMBL1201391
