task_id,request,protocol_query,literature_query,reference_steps
aml_prioritization,"Use knowledge graph approach, suggest top 20 existing drugs that could be repurposed for acute myeloid leukemia (AML) treatment and provide experimentally testable concentrations for an IC50 assay. The drug should inhibit the proliferation of AML cell lines, particularly MOLM13.",acute myeloid leukemia drug repurposing SOP,acute myeloid leukemia drug repurposing disease biology,"['Knowledge Graph Creation. Querying gene, pathways, mechanism of action. Get Drugs for these entities', 'Data Merging and Filtering', 'ADMET Prediction with Machine Learning Models', 'Integrated Scoring, Ranking & Visualization', 'Report Generation']"
covid_primary_screen,"
            I have a repurposing library of approximately 5,000 compounds that were screened for anti–COVID-19 activity using three complementary phenotypic assays, all conducted on the same compound set:
                - Cell Painting (CP) assay: measures the ability of compounds to rescue the morphology of SARS-CoV-2–infected cells toward a healthy state; this assay reports compound concentration and a morphology score, where higher scores indicate stronger morphological rescue.
                - Antibody-based (AB) viral infectivity assay: measures the reduction of viral infection rate, with lower infection rates indicating better antiviral activity.
                - Cytopathic effect (CPE) assay, which evaluates each compound’s ability to prevent virus-induced cell death, serving as a readout of cytoprotection and antiviral efficacy.
            The results of these screens are provided in three files:
                - A compound annotation file
                - CP_AB_raw.xlsx: containing raw results from the Cell Painting and antibody-based assays
                - CPE_raw.xlsx: containing raw results from the cytopathic effect assay.
            Using these datasets, the goal is to integrate and normalize the assay outputs to rank compounds by their overall potential as COVID-19 therapeutics. The ranking should be based on a transparent and well-reasoned strategy that accounts for assay directionality and differences in assay sensitivity or noise. Include all compound in the ranking, do not exclude any.
            In addition, raise concern with compounds that were given to detecting potentially misleading signals, such as apparent antiviral activity driven by cytotoxicity, reduced infection caused by loss of viable cells rather than true viral inhibition, morphology rescue unrelated to viral suppression, or concentration-dependent artifacts. The analysis should explicitly highlight such confounding patterns and explain why they may lead to false positives.
            Finally, based on the integrated results and identified uncertainties, the output should propose clear next steps to validate true antiviral activity.

            ",integrate and normalize phenotypic assay outputs for compound ranking,SARS-CoV-2 phospholipidosis phenotypic screening confounder host-directed antiviral,"['load, integrate, normalize, and ranking', 'flag cytotoxicity and phospholipidosis confounders', 'Comprehensive Reporting']"
msd_repurposing,"
           I have a SPECS compound library of approximately 5000 small molecules. Begin by summarizing the biological landscape of Multiple Sulfatase Deficiency (MSD), then, using that disease profile, screen the SPECS dataset and recommend the top candidate compounds that show potential for repurposing against MSD.
           Flag each candidate as High, Medium, or Low potential and present the results in a table that includes the compound ID, its primary target, the mechanistic rationale for repurposing, the supporting evidence, and the assigned confidence tier.
           ",Multiple Sulfatase Deficiency (MSD) biological landscape analysis and drug screening,Multiple Sulfatase Deficiency biological landscape,"['create knowledge graph and search literature to understand disease landscape. Annotate all drugs', 'Establish framework to map disease-drug and then screen library', 'summarize the evidence and outputs']"
covid_final,"
            For a repurposing campaign for COVID-19, we have done two rounds of experiments assays:
                - Primary screen: using three assays, including cytopathicity (CPE), antibody-based (AB), and cell painting (CP) on VeroE6 cell lines. This helps use narrow down the ~5K compounds to 324 hits. (CPE_raw and CP_AB_raw)
                - Validation screen: using cell painting (CP) and phopholipidosis assay on human A549-ACE2 cell to screen 324 compounds. It results in 74 hits. (validation_experiments, phospholipidosis_raw, and 74_hits.csv)
            Perform a comprehensive analysis using all available data to rank 74 hits in terms of potential to be repurposed for COVID-19 treatment. Rank the compounds using assay performance (morphology score, inhibition rate, cytophaticity inhibition, etc), assay consistency, possible confounders, risk of off-target, novelty in COVID19 medications, clinical trial phase or approval status, route of administration, relevant biological mechanistic support, and drug likeliness properties. Clearly explain the rationale behind the ranking into a md file.
            For top 5 potential drugs, export nice-formatted markdown file for each drug explain in details why these drugs should be selected. The explanation should address each criteria mentioned above.
            ",Ranking compounds based on cell assays and lipid accumulation assays,COVID-19 repurposed drugs phospholipidosis validation,"['annotation retrieval: get all the annotation for drugs', 'data analysis: conduct annotation integration, assess potential confouding, evaluate novelty, develop ranking system, rank', 'generate report for the whole process']"
covid_validation,"
            From the previous experiments, 324 compounds were selected for follow-up profiling. These compounds were tested in two assays using A549-ACE2 cells: cell painting and phospholipidosis. The results have been recorded in 3 files:
                - validation_experiments.xlsx: contains results of cell painting and antibody-based screen, with morphology score and infection rate,respectively. Each compound was tested at 4 concentrations.
                - phospholipidosis_raw.xlsx: contains results of phospholipidosis assays. They identify antiviral-like effects driven by lipid accumulation rather than true antiviral activity. Each compound was tested at s6 concentrations.
                - compounds_annotation.csv: chembl_id - compound_name mapping
            Your task is to produce a ranked list of all 324 compounds from experimental screening data towards effectiveness in treating COVID-19. Have a look at the data, understand the context, and strategically develop your own ranking system. The ranking should prioritize compounds with a robust morphology-rescue effect, while limiting DIPL effects at a comparable concentration. Include all compounds in the ranking; do not exclude any.
            In addition, you are expected to actively detect confounding patterns within the 324-compound dataset. The goal is not only to prioritize compounds but to surface risks, uncertainties, and alternative explanations in a transparent way that supports informed downstream decision-making. Output your confounders analysis also.
            ",Ranking compounds based on cell assays and lipid accumulation assays,COVID-19 repurposed drugs phospholipidosis validation,"['integrate, analyse data, and ranked compounds. Detect confounders', 'reporting']"
msd_disease_landscape_update,"Synthesize an up-to-date disease biology landscape for Multiple Sulfatase Deficiency (MSD). 
        Highlight key genetic drivers, pathophysiology, cellular pathways, and current experimental models. 
        Emphasize implications for mechanism-based drug repurposing strategies rather than proposing specific compounds.",standard workflow for literature-driven disease landscape analysis and knowledge graph seeding,"Multiple Sulfatase Deficiency genetics, pathophysiology, and therapeutic strategies","['Retrieve relevant SOPs and recent MSD-focused literature to define scope and evidence base', 'Create disease-specific knowledge graph. Get relevant entities such as genes, pathways, mechanisms, and known drugs', 'Aggregate pathway-level and mechanistic insights to identify biologically meaningful intervention points', 'Report findings']"
covid_phospholipidosis_confounds_review,"Explains how phospholipidosis can confound COVID-19 phenotypic screens, drawing on published examples. Identify assay features that are most vulnerable to DIPL artifacts and propose 
        literature-backed strategies to mitigate or interpret these confounders in repurposing campaigns.",analysis workflow for interpreting DIPL confounders in phenotypic screens,COVID-19 drug repurposing phospholipidosis confounders and lysosomotropic agents,"['Collect literature describing phospholipidosis-related artifacts in antiviral and phenotypic screening contexts', 'Organize relationships between compound properties, cellular effects, and observed antiviral signals', 'Identify recurring assay features associated with increased susceptibility to phospholipidosis confounding', 'Formulate evidence-based mitigation and interpretation strategies for repurposing workflows', 'Report findings']"
host_directed_antivirals_comparative_review,"Compare host-directed antiviral strategies for SARS-CoV-2 across the literature. 
        Focus on key host pathways (e.g. endocytosis, autophagy, lipid metabolism) and summarize which drug classes
        have the strongest and most reproducible evidence, including major caveats and translational risks.",workflow for systematic literature review of host-directed antiviral strategies,"host-directed antivirals for SARS-CoV-2 including endocytosis, autophagy, lipid metabolism","['Create disease-specific knowledge graph, then query relevant genes, pathways, and mechanisms of action', 'Define inclusion criteria and gather literature covering host-targeted antiviral mechanisms', 'Group evidence by host pathway, associated mechanisms, and corresponding drug classes', 'Compare consistency and reproducibility of findings across studies within each pathway category', 'Summarize translational opportunities, limitations, and major risks associated with each strategy']"
aml_kg_prioritization_assumptions,"Stress-test the assumptions behind a knowledge-graph-based AML repurposing workflow.
        Identify where literature support is strong vs weak for key graph edges (gene–disease, drug–target, pathway–phenotype), 
        and propose sensitivity analyses or alternative data sources where the evidence base is thin.",analysis framework SOP for validating knowledge-graph edges with literature,"acute myeloid leukemia knowledge graphs, gene–disease and drug–target evidence quality","['Compile AML-related literature and validation frameworks relevant to knowledge graph construction', 'Represent key relationship types, including gene–disease, drug–target, and pathway–phenotype links', 'Evaluate relative strength of evidence across relationship categories based on literature support patterns', 'Propose robustness checks, sensitivity analyses, and additional data sources to address weakly supported edges', 'Report findings']"
rare_disease_repurposing_oral_bioavailability_prioritization,"Identify drug repurposing candidates for a rare pediatric metabolic disorder using a knowledge graph approach, 
        then prioritize the resulting compound list specifically for oral bioavailability suitability. 
        Candidates should demonstrate favorable predicted solubility, permeability, and PGP efflux profiles 
        consistent with oral administration requirements, as this is the preferred route for pediatric patients.","in silico SOP for drug repurposing workflow using knowledge graphs, target identification, and compound prioritization based on physicochemical and ADMET properties",rare pediatric metabolic disorder drug repurposing oral bioavailability solubility permeability PGP efflux ADMET,"['Search PubMed literature for the pediatric metabolic disease of interest to identify associated pathways, molecular targets, and any previously proposed repurposing candidates', 'Construct a knowledge graph for the disease linking genes, pathways, mechanisms of action, and candidate drugs; extract drugs, proteins, pathways, and mechanisms using all relevant extraction tools', 'Expand the candidate drug list by querying getDrugsforProteins, getDrugsforPathways, and getDrugsforMechanisms across the key disease-associated targets and pathways identified', 'Run ADMET predictions on all candidate compounds covering solubility, lipophilicity, PAMPA permeability, PGP substrate/inhibitor status, and additionally hERG and AMES as baseline safety checks', 'In Python, apply oral bioavailability filters retaining compounds with predicted high solubility, PAMPA permeability above threshold, and negative PGP efflux; visualize the filtering funnel showing how many candidates pass each criterion, and rank surviving compounds by composite oral bioavailability score', 'Generate a final report summarizing the knowledge graph evidence for each top candidate, their predicted oral bioavailability profile, safety flag status, and a mechanistic rationale linking each compound to the disease biology']"
