drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,Multikinase inhibitor (PKC/FLT3),Inhibits FLT3 and PKC signaling kinases to reduce oncogenic proliferation/survival signaling,0.3,3.0,µM,Described as PKC/FLT3 multikinase; range given as 0.3 nM–3 µM (mixed units).
Sorafenib,Multikinase inhibitor (RAF/VEGFR/FLT3),"Inhibits RAF kinases and receptor tyrosine kinases including VEGFR and FLT3, suppressing growth signaling",0.3,3.0,µM,Targets listed: RAF/VEGFR/FLT3; range given as 0.3 nM–3 µM (mixed units).
Sunitinib,Multikinase inhibitor,Inhibits multiple receptor tyrosine kinases (including reported FLT3 activity) to block proliferative signaling,0.3,3.0,µM,Noted to include FLT3 activity; range given as 0.3 nM–3 µM (mixed units).
Pazopanib,Multikinase inhibitor,Inhibits multiple receptor tyrosine kinases involved in growth/angiogenic signaling,1.0,10.0,µM,Mentioned as multikinase with reported AML activity in some contexts; range given as 1 nM–10 µM (mixed units).
Dasatinib,Tyrosine kinase inhibitor (SRC/ABL family),Inhibits SRC-family and ABL kinases to disrupt leukemia-associated signaling pathways,0.1,1.0,µM,Range given as 0.1 nM–1 µM (mixed units).
Ruxolitinib,JAK inhibitor (JAK1/2),Inhibits JAK1/2 to suppress cytokine-driven JAK-STAT signaling and proliferation in dependent subsets,1.0,10.0,µM,Range given as 1 nM–10 µM (mixed units).
Trametinib,MEK inhibitor (MEK1/2),Inhibits MEK1/2 in the MAPK pathway to reduce downstream ERK signaling and proliferation,0.03,300.0,nM,Downstream MAPK pathway inhibitor.
Venetoclax,BCL-2 inhibitor,"Selectively inhibits BCL-2, promoting mitochondrial apoptosis in AML cells",0.01,1.0,µM,Approved in AML combinations; note says often left-shifted and to include very low doses; range given as 0.01 nM–1 µM (mixed units).
Navitoclax,BCL-2/BCL-XL inhibitor,Inhibits anti-apoptotic BCL-2 and BCL-XL to trigger apoptosis,0.3,3.0,µM,Clinical toxicity concerns noted; range given as 0.3 nM–3 µM (mixed units).
Mebendazole,Anthelmintic (microtubule/tubulin disruptor),"Disrupts microtubule formation via tubulin interference, impairing cell division",3.0,30.0,µM,Range given as 3 nM–30 µM (mixed units); described as tubulin disruption with cancer reports.
Disulfiram,ALDH-targeting agent / repurposed alcoholism drug,Induces cytotoxic stress via ALDH inhibition and metal-dependent effects (often enhanced with copper),10.0,10.0,µM,Text notes ALDH/metal-dependent cytotoxicity and that effects are often with Cu; range given as 10 nM–10 µM (mixed units) and recommends predefined Cu dosing/controls.
Valproic acid,HDAC inhibitor,"Inhibits histone deacetylases, altering transcription and promoting differentiation programs in AML contexts",0.05,5.0,mM,Mentioned as used in AML differentiation regimens.
Vorinostat,HDAC inhibitor,Inhibits histone deacetylases to modulate chromatin/transcription and reduce proliferation,1.0,10.0,µM,Alternative name in text: SAHA; range given as 1 nM–10 µM (mixed units).
Panobinostat,HDAC inhibitor,Potent HDAC inhibition leading to transcriptional reprogramming and anti-proliferative effects,0.03,300.0,nM,Noted as potent.
All-trans retinoic acid,Retinoid differentiation agent,Activates retinoic acid receptor signaling to drive myeloid differentiation (classically in APL),1.0,10.0,µM,Alternative name/acronym: ATRA; note warns proliferation IC50 may miss differentiation effects and suggests CD11b/flow as secondary; range given as 1 nM–10 µM (mixed units).
Metformin,Biguanide (metabolic/mitochondrial modulator),"Inhibits mitochondrial complex I, reducing oxidative phosphorylation and indirectly limiting proliferation in some AML settings",0.1,20.0,mM,Described as mitochondrial complex I with indirect antiproliferative effects.
Atovaquone,Mitochondrial electron transport inhibitor (antiprotozoal),Disrupts mitochondrial electron transport to impair cellular energy metabolism,0.03,30.0,µM,Described as mitochondrial electron transport; anticancer screens.
Ivermectin,Antiparasitic,Mechanism noted as context-dependent; reported to have anti-cancer cell effects in multiple studies,3.0,10.0,µM,Range given as 3 nM–10 µM (mixed units).
Niclosamide,Anthelmintic,"Reported to affect WNT/STAT3 signaling and mitochondrial uncoupling, reducing proliferation/survival",10.0,10.0,µM,Mechanism notes: WNT/STAT3/mitochondrial uncoupling; range given as 10 nM–10 µM (mixed units).
Chloroquine or Hydroxychloroquine,Autophagy/lysosomal inhibitor (antimalarial),"Raises lysosomal pH and inhibits autophagy/lysosomal function, often used as a sensitizer",0.1,100.0,µM,Text lists as 'Chloroquine or Hydroxychloroquine' and notes often used as sensitizer.
