drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Gilteritinib,FLT3 inhibitor,Selective FLT3 tyrosine kinase inhibition leading to blockade of FLT3‑driven proliferation/signaling,0.0,0.0,,Clinically approved for FLT3‑mutated relapsed/refractory AML; text reports activity in FLT3‑ITD models including MOLM13. No test concentrations provided in source text.
Quizartinib,FLT3 inhibitor,Potent FLT3 tyrosine kinase inhibition (very high affinity for FLT3‑ITD),0.0,0.0,,Also known as AC220; reported low‑nanomolar activity in FLT3‑ITD AML cell lines including MOLM13 per source text. No test concentrations provided in source text.
Midostaurin,Multi‑kinase/FLT3 inhibitor,"Multi‑kinase inhibition including FLT3, inhibiting FLT3‑driven signaling and proliferation",0.0,0.0,,Approved in combination with chemotherapy for FLT3‑mutated AML; text notes activity in FLT3‑mutant models. No test concentrations provided in source text.
Sorafenib,Multi‑kinase inhibitor,"Inhibits multiple kinases including RAF and FLT3, reducing proliferation and survival signaling",0.0,0.0,,Used off‑label / studied in AML with FLT3 activity; reported to inhibit growth of FLT3‑ITD cell lines. No test concentrations provided in source text.
Venetoclax,BCL‑2 inhibitor,Selective BCL‑2 inhibition promoting apoptosis in BCL‑2‑dependent cells,0.0,0.0,,Approved in combination regimens for AML; demonstrated activity in many AML cell lines and primary blasts; often tested in MOLM13 in literature per source text. No test concentrations provided in source text.
Bortezomib,Proteasome inhibitor,"Reversible inhibition of the 26S proteasome, altering protein homeostasis and NF‑κB signaling",0.0,0.0,,Tested in AML preclinical models and clinical combination studies. No test concentrations provided in source text.
Omacetaxine mepesuccinate,Protein synthesis inhibitor,"Inhibits protein translation elongation, reducing oncoprotein synthesis and promoting apoptosis",0.0,0.0,,Also known as homoharringtonine; FDA‑approved for CML and reported activity in AML cell lines per source text. No test concentrations provided in source text.
Auranofin,Thioredoxin reductase inhibitor / repurposed antirheumatic,"Inhibits thioredoxin reductase, increases ROS and proteotoxic stress leading to cytotoxicity",0.0,0.0,,Repurposing candidate with reported cytotoxicity in AML cell lines (including some FLT3‑ITD lines) per source text. No test concentrations provided in source text.
Arsenic trioxide,Inorganic anti‑leukemic agent,"Induces apoptosis and differentiation via multiple pathways (oxidative stress, PML‑RARα degradation in APL)",0.0,0.0,,Highly effective in APL; some reported activity in other AML preclinical models per source text. No test concentrations provided in source text.
Disulfiram,Aldehyde dehydrogenase inhibitor / metal‑dependent anticancer repurposing agent,"When combined with copper can inhibit proteasome activity and induce oxidative stress, leading to cancer cell death",0.0,0.0,,Often studied with copper for anticancer effects; reported antiproliferative effects in leukemia models per source text. No test concentrations provided in source text.
Clofazimine,Antimycobacterial repurposing candidate,Modulates NF‑κB and mitochondrial pathways leading to antiproliferative effects (exact anticancer mechanism multifactorial),0.0,0.0,,Anti‑mycobacterial drug with reported anticancer effects in hematologic models per source text. No test concentrations provided in source text.
Niclosamide,Antihelminthic repurposing candidate,"Multi‑target effects (Wnt, STAT3, mTOR inhibition and mitochondrial uncoupling) that can impair cancer cell survival",0.0,0.0,,Reported anti‑leukemic activity in vitro varying by cell line per source text. No test concentrations provided in source text.
Mebendazole,Antihelminthic / tubulin‑binding agent,"Binds tubulin and disrupts microtubule function, inhibiting cell division",0.0,0.0,,"Preclinical anticancer activity reported, including some antileukemic effects in vitro and in vivo per source text. No test concentrations provided in source text."
Metformin,Biguanide (metabolic modulator),"Alters mitochondrial metabolism and activates AMPK signaling, which can inhibit proliferation and sensitize cells to other agents",0.0,0.0,,Investigated as an adjuvant anticancer agent; reported to sensitize AML cells in some studies per source text. No test concentrations provided in source text.
Simvastatin,Statin (HMG‑CoA reductase inhibitor),"Inhibits cholesterol biosynthesis/prenylation affecting membrane and signaling pathways, with potential cytotoxic or chemosensitizing effects",0.0,0.0,,"Text lists statins (e.g., simvastatin) as examples; preclinical data suggest additive or sensitizing effects in AML. No test concentrations provided in source text."
Ruxolitinib,JAK1/2 inhibitor,"Inhibits JAK‑STAT signaling, reducing proliferation/survival signals in JAK‑driven contexts",0.0,0.0,,Explored in JAK‑mutated contexts and combinations for secondary AML per source text. No test concentrations provided in source text.
Dasatinib,Multi‑kinase inhibitor (SRC/ABL),"Inhibits SRC/ABL and other kinases, disrupting proliferative and survival signaling",0.0,0.0,,Variable single‑agent activity in AML; reported to show synergy in combinations per source text. No test concentrations provided in source text.
Ibrutinib,BTK inhibitor,Covalent inhibition of BTK and modulation of related signaling pathways,0.0,0.0,,Primarily used in B‑cell malignancies; limited single‑agent activity in AML but some preclinical synergy reports per source text. No test concentrations provided in source text.
Trametinib,MEK inhibitor,"Allosteric inhibition of MEK1/2, blocking MAPK pathway signaling",0.0,0.0,,May be active in AML subgroups with MAPK activation or in combinations; preclinical activity reported per source text. No test concentrations provided in source text.
Celecoxib,COX‑2 inhibitor / anti‑inflammatory repurposing candidate,Selective cyclooxygenase‑2 inhibition with reported antiproliferative and pro‑apoptotic effects in some cancer models,0.0,0.0,,Reported antiproliferative activity in leukemia cell lines and of interest mainly as an adjunct per source text. No test concentrations provided in source text.
